district,iec_district_id,iec_prov_id,map_accuracy,pc_code,pc_location,pc_name,province,ps_female,ps_male,ps_total,verification,lon,lat
Waras,07,10,تعمیر,1007150,Takhta Ha,Takhta Ha Mosque,Bamyan,1,1,2,Building,66.925853,34.081068
Waras,07,10,تعمیر,1007151,Waaz Darghan,Waaz Darghan Mosque,Bamyan,1,1,2,Building,66.971610,34.031673
Waras,07,10,تعمیر,1007159,Nas Patan,Toop-E-Ismael Mosque,Bamyan,1,2,3,Building,66.968194,34.117906
Sar Rawza,05,12,قریه,1205081,Shah Tori,Big Mosque,Paktika,0,2,2,Village,69.073771,32.970935
Sar Rawza,05,12,قریه,1205082,Shah Tori,Mohammad Hayat Guest House,Paktika,2,0,2,Village,69.074767,32.971388
Gomal,08,12,تعمیر,1208126,Payandi Village,Mawlavi Serajuddin Madressa,Paktika,1,3,4,Building,69.006642,32.184638
Gomal,08,12,قریه,1208127,Shekin,Shekin Bazaar Mosque,Paktika,0,2,2,Village,68.851728,32.447284
Laja Ahmad Khel,08,13,قریه,1308207,"Moti Village, Sakander Khel",Moti School,Paktya,1,1,2,Village,69.677669,33.885780
Jani Khel,09,13,قریه,1309170,"Kotkai, Setar Kalai",Kotkai Mosque,Paktya,0,2,2,Village,69.784822,33.666662
Khost,01,14,قریه,1401003,Omar Village,Omer Village Dermand,Khost,1,3,4,Village,69.942795,33.326150
Khost,01,14,قریه,1401004,Shamal Omar Village,Mohammad Vally Shah Hojra,Khost,1,1,2,Village,69.944092,33.327651
Char Dara,02,19,تعمیر,1902115,Naqil Salarzai,Salarzai Mosque,Kunduz,1,2,3,Building,68.849980,36.632767
Hazrat-E-Imam Sahib,05,19,تعمیر,1905093,Imam Sahib City,Nomania Secondary School,Kunduz,1,3,4,Building,68.898229,37.194565
Hazrat-E-Imam Sahib,05,19,تعمیر,1905094,Ota Blaqiha Village,Ortablaqi School,Kunduz,1,2,3,Building,68.905914,37.155496
Roi-Do-Ab,05,20,تعمیر,2005072,Aabkhorak Village,Aabkhorak Madrassa,Samangan,1,3,4,Building,67.762744,35.503973
Roi-Do-Ab,05,20,تعمیر,2005073,District Compound,Do Aab Madrassa,Samangan,1,2,3,Building,67.819338,35.564920
Mingajik,04,28,تعمیر,2804069,Chaar Changhoo,Chaar Changhoo High School,Jawzjan,2,2,4,Building,66.084062,37.005840
Mingajik,04,28,تعمیر,2804070,Mangjeek,Mangjeek School,Jawzjan,2,2,4,Building,66.137085,37.014028
Khamyab,06,28,تعمیر,2806086,Qarnas,Qarnas School,Jawzjan,1,2,3,Building,65.716953,37.531715
Khamyab,06,28,تعمیر,2806087,Chopli,Chopli Tapa,Jawzjan,1,1,2,Building,65.802238,37.495187
Qaisar,07,29,تعمیر,2907110,Zori Ha,Zori Ha Primary School,Faryab,1,2,3,Building,64.156630,35.720040
Dawlat Abad,09,29,تعمیر,2909158,Bay Qala Qozi,Qozi Bay Qala Girls High School,Faryab,2,2,4,Building,64.884730,36.419976
Dawlat Abad,09,29,تعمیر,2909159,Kokcha Qala,Jar Qala School,Faryab,2,2,4,Building,64.902970,36.365006
Enjil,02,32,تعمیر,3202078,Sar Hasan Khwaja Village,Shohada Secondary School,Herat,0,2,2,Building,62.396981,34.279605
Pashtun Zarghun,06,32,تعمیر,3206128,Shad Abad Village,Shah Abad School,Herat,2,3,5,Building,62.627320,34.224812
Pashtun Zarghun,06,32,قریه,3206129,Gul Meer Village,Gul Meer High School,Herat,1,2,3,Village,62.592040,34.218014
Kushk (Rubat-E-Sangi),07,32,تعمیر,3207180,Khwaja Sabz Posh,Khwaja Sabz Posh School,Herat,1,2,3,Building,62.019112,34.976617
Lash-E-Juwayn,09,33,تعمیر,3309097,Daraq,Daraq Secondary School,Farah,2,2,4,Building,61.505222,31.627753
Lash-E-Juwayn,09,33,تعمیر,3309098,Deh Shaikh,Deh Shaikh Mosque,Farah,1,1,2,Building,61.505951,31.500464
Surkhi Parsa,09,03,تعمیر,0309140,Dahan-E-Barik,Qatandar School,Parwan,1,1,2,Building,68.741004,34.727324
Wakhan,28,17,تعمیر,1728212,Patokh,Sarhad Pamir_Patokh High School,Badakhshan,1,1,2,Building,73.407195,37.009900
Kabul-D03,01,01,تعمیر,0101038,Sarai Ghazni,Sayed Jamalluddin Teacher Training School,Kabul,2,3,5,Building,69.132040,34.510870
Kabul-D03,01,01,تعمیر,0101039,Dehmazang,Amir Dust Mohammad Khan School,Kabul,2,3,5,Building,69.157751,34.510502
Kabul-D05,01,01,تعمیر,0101093,Sarai Heratiha,Mohammad Qayam Khan Primary School,Kabul,1,2,3,Building,69.107590,34.514522
Kabul-D08,01,01,تعمیر,0101430,Nahia 9,Noman Ibne Sabit Mosque,Kabul,5,4,9,Building,69.192588,34.491340
Kabul-D08,01,01,تعمیر,0101491,Jadid Abad Village,Abu Baker Sediq Mosque,Kabul,1,2,3,Building,69.215000,34.500833
Mir Bacha Kot,08,01,تعمیر,0108337,Guzar Village,Mir Hameedullah School,Kabul,2,2,4,Building,69.107332,34.712232
Mir Bacha Kot,08,01,تعمیر,0108338,Sofian,Pul-E-Sofian School,Kabul,1,2,3,Building,69.093599,34.697991
Behsud,02,06,تعمیر,0602050,Jamaly,Shahid Agha Mosque,Nangarhar,0,4,4,Building,70.505842,34.454778
Behsud,02,06,تعمیر,0602051,Jamaly,Malakh Village School,Nangarhar,3,0,3,Building,70.509164,34.470552
Shinwar,16,06,قریه,0616426,26 Viyala,Hospital Mosque,Nangarhar,3,0,3,Village,70.815491,34.219794
Shinwar,16,06,تعمیر,0616428,Ghani Khel,Daaga School,Nangarhar,2,3,5,Building,70.811267,34.192263
Muhmand Dara,17,06,تعمیر,0617472,Garde Ghows,Gardee Ghows High  School,Nangarhar,2,2,4,Building,70.968808,34.235038
Muhmand Dara,17,06,تعمیر,0617474,Paas Basool,Aimal Khan High School,Nangarhar,4,2,6,Building,70.881989,34.243842
Sharan,01,12,تعمیر,1201009,Omer Khel,Aljahad Primary School,Paktika,0,3,3,Building,68.817521,33.193557
Sharan,01,12,قریه,1201010,Sra Qala,Primary School,Paktika,2,0,2,Village,68.822644,33.189859
Zarghun Shahr,07,12,قریه,1207096,Mohammad Hassan,Ibrahim Guest House,Paktika,2,0,2,Village,68.469694,32.812311
Zarghun Shahr,07,12,تعمیر,1207098,Mohammad Dost Village,Mohammad Dost Mosque,Paktika,2,2,4,Building,68.488615,32.830589
Ziruk,12,12,تعمیر,1212189,District Bazaar,Khaima Mosque,Paktika,0,3,3,Building,69.311372,33.158339
Gardez,01,13,تعمیر,1301006,Ibrahim Khel,Ibrahim Khel School,Paktya,3,4,7,Building,69.169591,33.557701
Gardez,01,13,تعمیر,1301007,Robaat Village,Robaat Boys School,Paktya,0,2,2,Building,69.164323,33.636027
Sayyid Karam,06,13,تعمیر,1306031,Karez,Karez Mosque,Paktya,0,2,2,Building,69.452045,33.754167
Sayyid Karam,06,13,تعمیر,1306032,Karez,Karez School,Paktya,2,0,2,Building,69.450104,33.753431
Samkani,10,13,تعمیر,1310157,"Chamkani, Shahr-E-Naw",District Central Hospital,Paktya,4,0,4,Building,69.814704,33.804221
